id,paper_id,primers,longitude,latitude,continent,sample_type,its1_extracted,its2_extracted,its_total,biome,mat,map,ph,year_of_start,year_of_end,abundances
8746,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,27.3269,58.2762,Europe,soil,646,568,1214,forest,5.8,632,NA_,2011,2011,2
8749,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,27.0719,57.707,Europe,soil,2266,2082,4348,forest,4.7,707,NA_,2015,2015,70
8753,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,25.9465,58.6937,Europe,soil,853,784,1637,forest,5.4,680,NA_,2015,2015,1
8757,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,27.3162,57.9126,Europe,soil,6468,5829,12297,forest,5.7,656,NA_,2019,2019,35
8760,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,22.1404,58.3256,Europe,soil,8184,6916,15100,forest,6.7,617,NA_,2014,2014,17
8775,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,25.6818,58.1408,Europe,soil,1104,893,1997,forest,5.4,701,NA_,2015,2015,2
8776,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,26.7996,57.8414,Europe,soil,5629,5183,10812,forest,5.7,645,NA_,2017,2017,4
8782,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,26.588,58.4176,Europe,soil,3188,3030,6218,forest,5.6,641,NA_,2018,2018,7
8785,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,26.7594,59.1137,Europe,soil,5509,4903,10412,forest,5.3,594,NA_,2016,2016,20
8793,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,26.5267,58.09,Europe,soil,1778,1512,3290,forest,5.2,673,NA_,2017,2017,1
8794,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,27.2674,58.2578,Europe,soil,10576,9047,19623,forest,5.8,622,NA_,2017,2017,2
8801,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,25.9416,58.6814,Europe,soil,3690,3304,6994,forest,5.5,682,NA_,2017,2017,2
8811,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,26.6242,58.6511,Europe,soil,849,762,1611,forest,5.4,626,NA_,2015,2015,16
8812,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,24.3203,56.3629,Europe,soil,2086,1459,3545,forest,7,607,NA_,2019,2019,4
8822,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,26.887,58.3264,Europe,soil,3423,3169,6592,forest,5.6,646,NA_,2017,2017,1
8823,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,27.288,58.2622,Europe,soil,9135,7508,16643,forest,5.8,635,NA_,2017,2017,1
8824,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,26.7365,58.203,Europe,soil,3027,2853,5880,forest,5.5,611,NA_,2016,2016,1
8825,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,26.9794,58.1108,Europe,soil,4136,3656,7792,forest,5.6,644,NA_,2017,2017,3
8832,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,26.5597,58.3367,Europe,soil,2979,2721,5700,forest,5.6,630,NA_,2019,2019,1
8834,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,25.3932,56.8407,Europe,soil,1069,918,1987,forest,6.2,697,NA_,2019,2019,1
8837,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,26.4732,58.0283,Europe,soil,4511,4089,8600,forest,5.3,652,NA_,2017,2017,67
8841,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,25.0636,58.7226,Europe,soil,3624,3034,6658,forest,5.8,732,NA_,2015,2015,6
8844,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,27.0525,58.0405,Europe,soil,3434,3035,6469,forest,5.7,599,NA_,2014,2014,2
8850,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,25.5506,58.3508,Europe,soil,2615,2494,5109,forest,5.6,673,NA_,2018,2018,6
8857,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,26.9449,57.543,Europe,soil,4425,3493,7918,forest,5,747,NA_,2016,2016,7
8863,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,24.7033,59.0667,Europe,soil,2001,1626,3627,forest,5.8,705,NA_,2015,2015,4
8867,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,26.5275,58.0921,Europe,soil,10218,9510,19728,forest,5.2,671,NA_,2017,2017,27
8869,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,27.207,58.1186,Europe,soil,6587,5377,11964,forest,5.8,615,NA_,2017,2017,1
8874,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,27.3118,58.262,Europe,soil,1621,1442,3063,forest,5.7,636,NA_,2011,2011,2
8877,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,24.7593,59.0671,Europe,soil,1436,1167,2603,woodland,5.7,699,NA_,2016,2016,5
8882,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,26.7594,59.1137,Europe,soil,1033,964,1997,forest,5.3,594,NA_,2016,2016,1
8901,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,26.9065,57.9295,Europe,soil,4934,4642,9576,forest,5.6,634,NA_,2017,2017,1
8902,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,27.2849,58.284,Europe,soil,6250,5625,11875,forest,5.8,621,NA_,2020,2020,29
8906,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,26.6242,58.1273,Europe,soil,2903,2751,5654,forest,5.1,668,NA_,2017,2017,3
8911,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,27.0114,58.4153,Europe,soil,4237,3972,8209,forest,5.6,650,NA_,2017,2017,2
8915,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,26.8204,58.0206,Europe,soil,3523,3384,6907,forest,5.2,673,NA_,2017,2017,4
8919,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,26.6605,58.7484,Europe,soil,3638,3391,7029,forest,5.3,592,NA_,2017,2017,25
8921,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,26.5011,58.3088,Europe,soil,2315,2131,4446,forest,5.5,676,NA_,2017,2017,1
8922,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,25.2225,58.8041,Europe,soil,3875,3423,7298,forest,5.7,724,NA_,2015,2015,10
8923,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,27.2933,58.256,Europe,soil,11473,9757,21230,forest,5.8,635,NA_,2017,2017,8
8940,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,26.6767,58.2344,Europe,soil,3414,3164,6578,forest,5.5,609,NA_,2016,2016,2
8941,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,27.3049,58.2603,Europe,soil,8941,7823,16764,forest,5.8,635,NA_,2017,2017,3
8948,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,13.179,50.3845,Europe,soil,1557,1305,2862,forest,8.6,613,NA_,2018,2018,1
8950,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,26.2435,58.6973,Europe,soil,8180,7687,15867,forest,5.4,639,NA_,2017,2017,6
8952,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,26.2813,58.7456,Europe,soil,6345,5816,12161,forest,5.4,631,NA_,2017,2017,1
8970,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,26.055,57.929,Europe,soil,4190,3909,8099,forest,5.8,622,NA_,2017,2017,31
